Augustiner Lagerbier Hell 5.2% (500ml)
£3.60
Berliner Kindl Weisse 3% (330ml)
£2.30
Berliner Pilsner 5% (330ml can)
£2.50
Fruh Kolsch 4.8% (500ml can)
£3.50
Hirter Privat Pils 5.2% (500ml)
£2.80
Weisse Alkoholfrei (500ml)
£1.95
Schlenkerla Rauchbier Marzen 5.1% (500ml)
£3.60
Schofferhofer Grapefruit Wheat Beer Mix 2.5% (500ml can)
£2.10
Stone Ruination Double IPA 8.5% (330ml can)
£3.95
Weihenstephaner Hefe Weiss 5.4% (500ml)
£3.50
